,alpha3_code,region,category,parameter,mode,powertrain,year,unit,value
0,AUS,Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49.0
1,AUS,Australia,Historical,EV sales share,Cars,EV,2011,percent,0.0065000001341104
2,AUS,Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0004600000102072
3,AUS,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49.0
4,AUS,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170.0
5,AUS,Australia,Historical,EV stock share,Cars,EV,2012,percent,0.0027999999001622
6,AUS,Australia,Historical,EV sales share,Cars,EV,2012,percent,0.0299999993294477
7,AUS,Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220.0
8,AUS,Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80.0
9,AUS,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80.0
10,AUS,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0
11,AUS,Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0
12,AUS,Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0
13,AUS,Australia,Historical,EV sales share,Cars,EV,2013,percent,0.0340000018477439
14,AUS,Australia,Historical,EV stock share,Cars,EV,2013,percent,0.0054000001400709
15,AUS,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0
16,AUS,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0
17,AUS,Australia,Historical,EV stock share,Cars,EV,2014,percent,0.0170000009238719
18,AUS,Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721
19,AUS,Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0
20,AUS,Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0
21,AUS,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0
22,AUS,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0
23,AUS,Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0
24,AUS,Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0
25,AUS,Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232
26,AUS,Australia,Historical,EV stock share,Cars,EV,2015,percent,0.0320000015199184
27,AUS,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0
28,AUS,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0
29,AUS,Australia,Historical,EV stock share,Cars,EV,2016,percent,0.0430000014603138
30,AUS,Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464
31,AUS,Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0
32,AUS,Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0
33,AUS,Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0
34,AUS,Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0
35,AUS,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0
36,AUS,Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
37,AUS,Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0
38,AUS,Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463256
39,AUS,Australia,Historical,EV stock share,Cars,EV,2017,percent,0.0610000006854534
40,AUS,Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0
41,AUS,Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0
42,AUS,Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61.0
43,AUS,Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0
44,AUS,Australia,Historical,EV stock share,Cars,EV,2018,percent,0.0890000015497207
45,AUS,Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978
46,AUS,Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0
47,AUS,Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
48,AUS,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0
49,AUS,Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0
50,AUS,Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0
51,AUS,Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0
52,AUS,Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0
53,AUS,Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0
54,AUS,Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768371
55,AUS,Australia,Historical,EV stock share,Cars,EV,2019,percent,0.159999996423721
56,AUS,Australia,Historical,EV charging points,EV,Publicly available fast,2019,charging points,250.0
57,AUS,Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700.0
58,AUS,Australia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,350.0
59,AUS,Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2000.0
60,AUS,Australia,Historical,EV stock share,Cars,EV,2020,percent,0.219999998807907
61,AUS,Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384185
62,AUS,Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0
63,AUS,Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0
64,AUS,Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0
65,AUS,Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0
66,AUS,Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0
67,AUS,Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0
68,AUS,Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0
69,AUS,Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0
70,AUS,Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628
71,AUS,Australia,Historical,EV stock share,Cars,EV,2021,percent,0.389999985694885
72,AUS,Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320.0
73,AUS,Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000.0
74,AUS,Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470.0
75,AUS,Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100.0
76,AUS,Australia,Historical,EV stock share,Cars,EV,2022,percent,0.589999973773956
77,AUS,Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463256
78,AUS,Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0
79,AUS,Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0
80,AUS,Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0
81,AUS,Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0
82,AUT,Austria,Historical,EV stock,Buses,BEV,2010,Vehicles,110.0
83,AUT,Austria,Historical,EV sales,Buses,BEV,2010,Vehicles,8.0
84,AUT,Austria,Historical,EV sales,Vans,BEV,2010,Vehicles,41.0
85,AUT,Austria,Historical,EV stock,Vans,BEV,2010,Vehicles,69.0
86,AUT,Austria,Historical,EV stock,Cars,BEV,2010,Vehicles,350.0
87,AUT,Austria,Historical,EV stock,Trucks,BEV,2010,Vehicles,1.0
88,AUT,Austria,Historical,EV sales share,Buses,EV,2010,percent,1.10000002384185
89,AUT,Austria,Historical,EV stock share,Buses,EV,2010,percent,1.20000004768371
90,AUT,Austria,Historical,EV sales share,Vans,EV,2010,percent,0.150000005960464
91,AUT,Austria,Historical,EV stock share,Vans,EV,2010,percent,0.0219999998807907
92,AUT,Austria,Historical,EV stock share,Cars,EV,2010,percent,0.0078999996185302
93,AUT,Austria,Historical,EV stock share,Trucks,EV,2010,percent,0.001300000003539
94,AUT,Austria,Historical,EV stock share,Trucks,EV,2011,percent,0.0013999999500811
95,AUT,Austria,Historical,EV stock share,Cars,EV,2011,percent,0.0219999998807907
96,AUT,Austria,Historical,EV stock share,Vans,EV,2011,percent,0.0399999991059303
97,AUT,Austria,Historical,EV sales share,Vans,EV,2011,percent,0.0370000004768371
98,AUT,Austria,Historical,EV stock share,Buses,EV,2011,percent,1.20000004768371
99,AUT,Austria,Historical,EV sales share,Buses,EV,2011,percent,0.829999983310699
100,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.100000001490116
101,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.100000001490116
102,AUT,Austria,Historical,EV stock,Trucks,BEV,2011,Vehicles,1.0
103,AUT,Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0
104,AUT,Austria,Historical,EV stock,Vans,BEV,2011,Vehicles,140.0
105,AUT,Austria,Historical,EV sales,Vans,BEV,2011,Vehicles,12.0
106,AUT,Austria,Historical,EV sales,Buses,BEV,2011,Vehicles,5.0
107,AUT,Austria,Historical,EV stock,Buses,BEV,2011,Vehicles,120.0
108,AUT,Austria,Historical,EV stock,Buses,BEV,2012,Vehicles,130.0
109,AUT,Austria,Historical,EV sales,Buses,BEV,2012,Vehicles,14.0
110,AUT,Austria,Historical,EV sales,Vans,BEV,2012,Vehicles,260.0
111,AUT,Austria,Historical,EV stock,Vans,BEV,2012,Vehicles,430.0
112,AUT,Austria,Historical,EV stock,Cars,BEV,2012,Vehicles,1400.0
113,AUT,Austria,Historical,EV stock,Trucks,BEV,2012,Vehicles,1.0
114,AUT,Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0
115,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.100000001490116
116,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.100000001490116
117,AUT,Austria,Historical,EV sales share,Buses,EV,2012,percent,1.89999997615814
118,AUT,Austria,Historical,EV stock share,Buses,EV,2012,percent,1.29999995231628
119,AUT,Austria,Historical,EV sales share,Vans,EV,2012,percent,0.829999983310699
120,AUT,Austria,Historical,EV stock share,Vans,EV,2012,percent,0.11999999731779
121,AUT,Austria,Historical,EV stock share,Cars,EV,2012,percent,0.032999999821186
122,AUT,Austria,Historical,EV stock share,Trucks,EV,2012,percent,0.0013999999500811
123,AUT,Austria,Historical,EV stock share,Trucks,EV,2013,percent,0.0013999999500811
124,AUT,Austria,Historical,EV stock share,Cars,EV,2013,percent,0.0529999993741512
125,AUT,Austria,Historical,EV sales share,Cars,EV,2013,percent,0.200000002980232
126,AUT,Austria,Historical,EV stock share,Vans,EV,2013,percent,0.170000001788139
127,AUT,Austria,Historical,EV sales share,Vans,EV,2013,percent,0.009800000116229
128,AUT,Austria,Historical,EV stock share,Buses,EV,2013,percent,1.5
129,AUT,Austria,Historical,EV sales share,Buses,EV,2013,percent,2.09999990463256
130,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.100000001490116
131,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.100000001490116
132,AUT,Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0
133,AUT,Austria,Historical,EV stock,Trucks,BEV,2013,Vehicles,1.0
134,AUT,Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0
135,AUT,Austria,Historical,EV stock,Vans,BEV,2013,Vehicles,620.0
136,AUT,Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650.0
137,AUT,Austria,Historical,EV sales,Vans,BEV,2013,Vehicles,3.0
138,AUT,Austria,Historical,EV sales,Buses,BEV,2013,Vehicles,15.0
139,AUT,Austria,Historical,EV stock,Buses,BEV,2013,Vehicles,140.0
140,AUT,Austria,Historical,EV stock,Buses,BEV,2014,Vehicles,130.0
141,AUT,Austria,Historical,EV sales,Buses,BEV,2014,Vehicles,1.0
142,AUT,Austria,Historical,EV sales,Vans,BEV,2014,Vehicles,11.0
143,AUT,Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700.0
144,AUT,Austria,Historical,EV stock,Vans,BEV,2014,Vehicles,820.0
145,AUT,Austria,Historical,EV stock,Cars,BEV,2014,Vehicles,3400.0
146,AUT,Austria,Historical,EV stock,Trucks,BEV,2014,Vehicles,1.0
147,AUT,Austria,Historical,EV stock,Cars,PHEV,2014,Vehicles,780.0
148,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.100000001490116
149,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.100000001490116
150,AUT,Austria,Historical,EV sales share,Buses,EV,2014,percent,0.109999999403953
151,AUT,Austria,Historical,EV stock share,Buses,EV,2014,percent,1.39999997615814
152,AUT,Austria,Historical,EV sales share,Vans,EV,2014,percent,0.0350000001490116
153,AUT,Austria,Historical,EV stock share,Vans,EV,2014,percent,0.219999998807907
154,AUT,Austria,Historical,EV sales share,Cars,EV,2014,percent,0.569999992847442
155,AUT,Austria,Historical,EV stock share,Cars,EV,2014,percent,0.0890000015497207
156,AUT,Austria,Historical,EV stock share,Trucks,EV,2014,percent,0.0013999999500811
157,AUT,Austria,Historical,EV stock share,Trucks,EV,2015,percent,0.0015000000130385
158,AUT,Austria,Historical,EV stock share,Cars,EV,2015,percent,0.140000000596046
159,AUT,Austria,Historical,EV sales share,Cars,EV,2015,percent,0.899999976158142
160,AUT,Austria,Historical,EV stock share,Vans,EV,2015,percent,0.280000001192092
161,AUT,Austria,Historical,EV sales share,Vans,EV,2015,percent,0.100000001490116
162,AUT,Austria,Historical,EV stock share,Buses,EV,2015,percent,1.39999997615814
163,AUT,Austria,Historical,EV sales share,Buses,EV,2015,percent,1.29999995231628
164,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.100000001490116
165,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.100000001490116
166,AUT,Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500.0
167,AUT,Austria,Historical,EV stock,Trucks,BEV,2015,Vehicles,1.0
168,AUT,Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000.0
169,AUT,Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0
170,AUT,Austria,Historical,EV stock,Vans,BEV,2015,Vehicles,1100.0
171,AUT,Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0
172,AUT,Austria,Historical,EV sales,Vans,BEV,2015,Vehicles,33.0
173,AUT,Austria,Historical,EV sales,Buses,BEV,2015,Vehicles,12.0
174,AUT,Austria,Historical,EV stock,Buses,BEV,2015,Vehicles,140.0
175,AUT,Austria,Historical,EV stock,Buses,BEV,2016,Vehicles,150.0
176,AUT,Austria,Historical,EV sales,Buses,BEV,2016,Vehicles,22.0
177,AUT,Austria,Historical,EV sales,Vans,BEV,2016,Vehicles,140.0
178,AUT,Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0
179,AUT,Austria,Historical,EV stock,Vans,BEV,2016,Vehicles,1500.0
180,AUT,Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0
181,AUT,Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100.0
182,AUT,Austria,Historical,EV stock,Trucks,BEV,2016,Vehicles,1.0
183,AUT,Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300.0
184,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.100000001490116
185,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.100000001490116
186,AUT,Austria,Historical,EV sales share,Buses,EV,2016,percent,2.09999990463256
187,AUT,Austria,Historical,EV stock share,Buses,EV,2016,percent,1.5
188,AUT,Austria,Historical,EV sales share,Vans,EV,2016,percent,0.379999995231628
189,AUT,Austria,Historical,EV stock share,Vans,EV,2016,percent,0.379999995231628
190,AUT,Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5
191,AUT,Austria,Historical,EV stock share,Cars,EV,2016,percent,0.239999994635581
192,AUT,Austria,Historical,EV stock share,Trucks,EV,2016,percent,0.0019000000320374
193,AUT,Austria,Historical,EV stock share,Trucks,EV,2017,percent,0.0019000000320374
194,AUT,Austria,Historical,EV stock share,Cars,EV,2017,percent,0.379999995231628
195,AUT,Austria,Historical,EV sales share,Cars,EV,2017,percent,2.0
196,AUT,Austria,Historical,EV stock share,Vans,EV,2017,percent,0.419999986886978
197,AUT,Austria,Historical,EV sales share,Vans,EV,2017,percent,0.660000026226043
198,AUT,Austria,Historical,EV stock share,Buses,EV,2017,percent,1.39999997615814
199,AUT,Austria,Historical,EV sales share,Buses,EV,2017,percent,0.239999994635581
200,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.100000001490116
201,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.100000001490116
202,AUT,Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0
203,AUT,Austria,Historical,EV stock,Trucks,BEV,2017,Vehicles,1.0
204,AUT,Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000.0
205,AUT,Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0
206,AUT,Austria,Historical,EV stock,Vans,BEV,2017,Vehicles,1700.0
207,AUT,Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0
208,AUT,Austria,Historical,EV sales,Vans,BEV,2017,Vehicles,270.0
209,AUT,Austria,Historical,EV sales,Buses,BEV,2017,Vehicles,3.0
210,AUT,Austria,Historical,EV stock,Buses,BEV,2017,Vehicles,140.0
211,AUT,Austria,Historical,EV stock,Buses,BEV,2018,Vehicles,150.0
212,AUT,Austria,Historical,EV sales,Buses,BEV,2018,Vehicles,18.0
213,AUT,Austria,Historical,EV sales,Vans,BEV,2018,Vehicles,460.0
214,AUT,Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0
215,AUT,Austria,Historical,EV stock,Vans,BEV,2018,Vehicles,2100.0
216,AUT,Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0
217,AUT,Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0
218,AUT,Austria,Historical,EV stock,Trucks,BEV,2018,Vehicles,11.0
219,AUT,Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0
220,AUT,Austria,Historical,EV sales,Trucks,BEV,2018,Vehicles,10.0
221,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.100000001490116
222,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.100000001490116
223,AUT,Austria,Historical,EV sales share,Buses,EV,2018,percent,1.70000004768371
224,AUT,Austria,Historical,EV stock share,Buses,EV,2018,percent,1.5
225,AUT,Austria,Historical,EV sales share,Vans,EV,2018,percent,1.10000002384185
226,AUT,Austria,Historical,EV stock share,Vans,EV,2018,percent,0.509999990463256
227,AUT,Austria,Historical,EV sales share,Cars,EV,2018,percent,2.59999990463256
228,AUT,Austria,Historical,EV stock share,Cars,EV,2018,percent,0.52999997138977
229,AUT,Austria,Historical,EV stock share,Trucks,EV,2018,percent,0.0209999997168779
230,AUT,Austria,Historical,EV sales share,Trucks,EV,2018,percent,0.11999999731779
231,AUT,Austria,Historical,EV sales share,Trucks,EV,2019,percent,0.025000000372529
232,AUT,Austria,Historical,EV stock share,Trucks,EV,2019,percent,0.0219999998807907
233,AUT,Austria,Historical,EV stock share,Cars,EV,2019,percent,0.75
234,AUT,Austria,Historical,EV sales share,Cars,EV,2019,percent,3.5
235,AUT,Austria,Historical,EV stock share,Vans,EV,2019,percent,0.589999973773956
236,AUT,Austria,Historical,EV sales share,Vans,EV,2019,percent,1.20000004768371
237,AUT,Austria,Historical,EV stock share,Buses,EV,2019,percent,1.60000002384185
238,AUT,Austria,Historical,EV sales share,Buses,EV,2019,percent,2.0
239,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.100000001490116
240,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.100000001490116
241,AUT,Austria,Historical,EV stock,Trucks,BEV,2019,Vehicles,12.0
242,AUT,Austria,Historical,EV sales,Trucks,BEV,2019,Vehicles,2.0
243,AUT,Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,8000.0
244,AUT,Austria,Historical,EV stock,Cars,BEV,2019,Vehicles,30000.0
245,AUT,Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200.0
246,AUT,Austria,Historical,EV stock,Vans,BEV,2019,Vehicles,2600.0
247,AUT,Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300.0
248,AUT,Austria,Historical,EV sales,Vans,BEV,2019,Vehicles,500.0
249,AUT,Austria,Historical,EV sales,Buses,BEV,2019,Vehicles,22.0
250,AUT,Austria,Historical,EV stock,Buses,BEV,2019,Vehicles,160.0
251,AUT,Austria,Historical,EV stock,Buses,BEV,2020,Vehicles,170.0
252,AUT,Austria,Historical,EV sales,Buses,BEV,2020,Vehicles,14.0
253,AUT,Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000.0
254,AUT,Austria,Historical,EV stock,Vans,BEV,2020,Vehicles,3300.0
255,AUT,Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600.0
256,AUT,Austria,Historical,EV stock,Cars,BEV,2020,Vehicles,45000.0
257,AUT,Austria,Historical,EV stock,Cars,PHEV,2020,Vehicles,15000.0
258,AUT,Austria,Historical,EV sales,Vans,BEV,2020,Vehicles,740.0
259,AUT,Austria,Historical,EV stock,Trucks,BEV,2020,Vehicles,13.0
260,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.100000001490116
261,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,0.100000001490116
262,AUT,Austria,Historical,EV sales share,Buses,EV,2020,percent,1.60000002384185
263,AUT,Austria,Historical,EV stock share,Buses,EV,2020,percent,1.70000004768371
264,AUT,Austria,Historical,EV sales share,Vans,EV,2020,percent,2.0
265,AUT,Austria,Historical,EV stock share,Vans,EV,2020,percent,0.730000019073486
266,AUT,Austria,Historical,EV sales share,Cars,EV,2020,percent,9.5
267,AUT,Austria,Historical,EV stock share,Cars,EV,2020,percent,1.20000004768371
268,AUT,Austria,Historical,EV stock share,Trucks,EV,2020,percent,0.0240000002086162
269,AUT,Austria,Historical,EV stock share,Trucks,EV,2021,percent,0.0810000002384185
270,AUT,Austria,Historical,EV sales share,Trucks,EV,2021,percent,0.6700000166893
271,AUT,Austria,Historical,EV stock share,Cars,EV,2021,percent,2.09999990463256
272,AUT,Austria,Historical,EV sales share,Cars,EV,2021,percent,20.0
273,AUT,Austria,Historical,EV stock share,Vans,EV,2021,percent,1.10000002384185
274,AUT,Austria,Historical,EV sales share,Vans,EV,2021,percent,3.70000004768371
275,AUT,Austria,Historical,EV stock share,Buses,EV,2021,percent,1.70000004768371
276,AUT,Austria,Historical,EV sales share,Buses,EV,2021,percent,1.20000004768371
277,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600.0
278,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8900.0
279,AUT,Austria,Historical,EV stock,Trucks,BEV,2021,Vehicles,44.0
280,AUT,Austria,Historical,EV sales,Vans,BEV,2021,Vehicles,2200.0
281,AUT,Austria,Historical,EV sales,Vans,PHEV,2021,Vehicles,9.0
282,AUT,Austria,Historical,EV sales,Trucks,BEV,2021,Vehicles,38.0
283,AUT,Austria,Historical,EV stock,Cars,PHEV,2021,Vehicles,29000.0
284,AUT,Austria,Historical,EV stock,Cars,BEV,2021,Vehicles,77000.0
285,AUT,Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000.0
286,AUT,Austria,Historical,EV stock,Vans,BEV,2021,Vehicles,5600.0
287,AUT,Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000.0
288,AUT,Austria,Historical,EV stock,Vans,PHEV,2021,Vehicles,9.0
289,AUT,Austria,Historical,EV sales,Buses,BEV,2021,Vehicles,11.0
290,AUT,Austria,Historical,EV stock,Buses,BEV,2021,Vehicles,170.0
291,AUT,Austria,Historical,EV stock,Buses,BEV,2022,Vehicles,200.0
292,AUT,Austria,Historical,EV sales,Buses,BEV,2022,Vehicles,26.0
293,AUT,Austria,Historical,EV stock,Vans,PHEV,2022,Vehicles,10.0
294,AUT,Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000.0
295,AUT,Austria,Historical,EV stock,Vans,BEV,2022,Vehicles,7600.0
296,AUT,Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000.0
297,AUT,Austria,Historical,EV stock,Cars,BEV,2022,Vehicles,110000.0
298,AUT,Austria,Historical,EV stock,Cars,PHEV,2022,Vehicles,42000.0
299,AUT,Austria,Historical,EV sales,Trucks,BEV,2022,Vehicles,57.0
300,AUT,Austria,Historical,EV sales,Vans,PHEV,2022,Vehicles,1.0
301,AUT,Austria,Historical,EV sales,Vans,BEV,2022,Vehicles,2100.0
302,AUT,Austria,Historical,EV stock,Trucks,BEV,2022,Vehicles,99.0
303,AUT,Austria,Historical,EV charging points,EV,Publicly available fast,2022,charging points,2600.0
304,AUT,Austria,Historical,EV charging points,EV,Publicly available slow,2022,charging points,13000.0
305,AUT,Austria,Historical,EV sales share,Buses,EV,2022,percent,2.79999995231628
306,AUT,Austria,Historical,EV stock share,Buses,EV,2022,percent,1.79999995231628
307,AUT,Austria,Historical,EV stock share,Vans,EV,2022,percent,1.5
308,AUT,Austria,Historical,EV sales share,Cars,EV,2022,percent,22.0
309,AUT,Austria,Historical,EV stock share,Cars,EV,2022,percent,3.0
310,AUT,Austria,Historical,EV sales share,Trucks,EV,2022,percent,1.79999995231628
311,AUT,Austria,Historical,EV stock share,Trucks,EV,2022,percent,0.170000001788139
312,AUT,Austria,Historical,EV sales share,Vans,EV,2022,percent,9.39999961853027
313,BEL,Belgium,Historical,EV stock share,Buses,EV,2010,percent,0.0189999993890523
314,BEL,Belgium,Historical,EV stock,Buses,BEV,2010,Vehicles,3.0
315,BEL,Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7.0
316,BEL,Belgium,Historical,EV stock,Vans,BEV,2010,Vehicles,62.0
317,BEL,Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48.0
318,BEL,Belgium,Historical,EV stock,Cars,BEV,2010,Vehicles,61.0
319,BEL,Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8.0
320,BEL,Belgium,Historical,EV sales share,Vans,EV,2010,percent,0.0149999996647238
321,BEL,Belgium,Historical,EV stock share,Vans,EV,2010,percent,0.0099999997764825
322,BEL,Belgium,Historical,EV sales share,Cars,EV,2010,percent,0.0099999997764825
323,BEL,Belgium,Historical,EV stock share,Cars,EV,2010,percent,0.001300000003539
324,BEL,Belgium,Historical,EV stock share,Trucks,EV,2010,percent,0.001300000003539
325,BEL,Belgium,Historical,EV stock,Cars,PHEV,2010,Vehicles,9.0
326,BEL,Belgium,Historical,EV stock,Trucks,BEV,2010,Vehicles,2.0
327,BEL,Belgium,Historical,EV stock,Trucks,BEV,2011,Vehicles,6.0
328,BEL,Belgium,Historical,EV stock,Cars,PHEV,2011,Vehicles,26.0
329,BEL,Belgium,Historical,EV sales,Trucks,BEV,2011,Vehicles,1.0
330,BEL,Belgium,Historical,EV sales share,Trucks,EV,2011,percent,0.0109999999403953
331,BEL,Belgium,Historical,EV stock share,Cars,EV,2011,percent,0.0063999998383224
332,BEL,Belgium,Historical,EV sales share,Cars,EV,2011,percent,0.0520000010728836
333,BEL,Belgium,Historical,EV stock share,Vans,EV,2011,percent,0.0130000002682209
334,BEL,Belgium,Historical,EV sales share,Vans,EV,2011,percent,0.0439999997615814
335,BEL,Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16.0
336,BEL,Belgium,Historical,EV stock share,Trucks,EV,2011,percent,0.0040000001899898
